domain,robots_status,robots_present,blocks_named_ai_agent,ai_agents_named,sig_directory_status,has_sig_directory,llms_txt_status,has_llms_txt,ai_txt_status,has_ai_txt,checked_at
bit.ly,200,True,False,,404,False,200,False,404,False,2026-09-10T20:55:31Z
outlook.com,417,False,False,,404,False,417,False,417,False,2026-09-10T20:55:32Z
okcdn.ru,404,False,False,,404,False,404,False,404,False,2026-09-10T20:55:33Z
github.io,200,False,False,,200,False,200,False,200,False,2026-09-10T20:55:35Z
app-analytics-services.com,404,False,False,,404,False,404,False,404,False,2026-09-10T20:55:38Z
amazonvideo.com,200,True,True,bytespider;ccbot;chatgpt-user;cohere-ai;crawl4ai;diffbot;iaskspider;imagesiftbot;meta-externalagent;perplexitybot;petalbot;timpibot;wrtnbot;youbot,403,False,404,False,404,False,2026-09-10T20:55:41Z
registrar-servers.com,200,True,False,,404,False,404,False,404,False,2026-09-10T20:55:41Z
vk.com,200,True,False,,404,False,404,False,404,False,2026-09-10T20:55:44Z
app-measurement.com,404,False,False,,404,False,404,False,404,False,2026-09-10T20:55:44Z
cdn77.org,,False,False,,,False,,False,,False,2026-09-10T20:55:49Z
afternic.com,200,True,False,,404,False,404,False,404,False,2026-09-10T20:55:49Z
criteo.com,200,True,True,petalbot,404,False,404,False,404,False,2026-09-10T20:55:50Z
apache.org,200,True,False,,404,False,404,False,404,False,2026-09-10T20:55:50Z
unity3d.com,200,True,True,bytespider,403,False,,False,404,False,2026-09-10T20:55:54Z
amazon-adsystem.com,,False,False,,,False,,False,,False,2026-09-10T20:55:56Z
trbcdn.net,,False,False,,,False,,False,,False,2026-09-10T20:55:57Z
snapchat.com,200,True,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;imagesiftbot;meta-externalagent;oai-searchbot;omgilibot;perplexitybot;petalbot;timpibot;youbot,404,False,404,False,404,False,2026-09-10T20:56:01Z
amazon.dev,,False,False,,,False,,False,,False,2026-09-10T20:56:03Z
dnsowl.com,,False,False,,,False,,False,,False,2026-09-10T20:56:07Z
vkuserphoto.ru,418,False,False,,418,False,418,False,418,False,2026-09-10T20:56:09Z
intuit.com,200,True,False,,403,False,400,False,400,False,2026-09-10T20:56:13Z
dns.google,404,False,False,,404,False,404,False,404,False,2026-09-10T20:56:16Z
msftncsi.com,,False,False,,,False,,False,,False,2026-09-10T20:56:23Z
kaspersky.com,200,True,True,applebot-extended;ccbot;chatgpt-user;claude-web;claudebot;diffbot;google-extended;gptbot;oai-searchbot;perplexitybot;youbot,404,False,200,True,404,False,2026-09-10T20:56:29Z
nih.gov,403,False,False,,403,False,403,False,403,False,2026-09-10T20:56:32Z
dropbox.com,200,True,False,,404,False,200,True,404,False,2026-09-10T20:56:35Z
iiko.it,,False,False,,,False,,False,,False,2026-09-10T20:56:36Z
static.microsoft,,False,False,,,False,,False,,False,2026-09-10T20:56:41Z
miit.gov.cn,,False,False,,,False,,False,,False,2026-09-10T20:56:42Z
epicgames.com,403,False,False,,403,False,403,False,403,False,2026-09-10T20:56:42Z
reg.ru,200,False,False,,200,False,200,False,200,False,2026-09-10T20:56:47Z
azurefd.net,,False,False,,,False,,False,,False,2026-09-10T20:56:48Z
forms.gle,400,False,False,,400,False,400,False,400,False,2026-09-10T20:56:50Z
discord.gg,200,True,False,,200,False,200,False,200,False,2026-09-10T20:56:53Z
archive.org,200,True,False,,404,False,404,False,404,False,2026-09-10T20:56:55Z
xiaomi.com,403,False,False,,403,False,403,False,403,False,2026-09-10T20:56:58Z
godaddy.com,403,False,False,,403,False,403,False,403,False,2026-09-10T20:56:59Z
steamserver.net,,False,False,,,False,,False,,False,2026-09-10T20:57:03Z
one.one,200,True,False,,404,False,200,True,404,False,2026-09-10T20:57:06Z
nytimes.com,200,True,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;imagesiftbot;meta-externalagent;oai-searchbot;omgilibot;perplexitybot;timpibot;youbot,404,False,404,False,404,False,2026-09-10T20:57:08Z
gravatar.com,200,True,True,amazonbot;bytespider;ccbot;facebookbot;google-extended;gptbot;omgilibot,404,False,200,True,404,False,2026-09-10T20:57:09Z
aliyuncs.com,404,False,False,,404,False,404,False,404,False,2026-09-10T20:57:14Z
msftconnecttest.com,,False,False,,,False,,False,,False,2026-09-10T20:57:16Z
tumblr.com,200,True,True,amazonbot;anthropic-ai;applebot-extended;ccbot;claudebot;facebookbot;google-extended;imagesiftbot;meta-externalagent;omgilibot;youbot,200,False,404,False,404,False,2026-09-10T20:57:17Z
applovin.com,200,True,False,,200,False,200,False,200,False,2026-09-10T20:57:21Z
adtrafficquality.google,404,False,False,,404,False,404,False,404,False,2026-09-10T20:57:23Z
jomodns.com,,False,False,,,False,,False,,False,2026-09-10T20:57:25Z
triplinkintl.com,200,False,False,,200,False,200,False,200,False,2026-09-10T20:57:30Z
tm-azurefd.net,,False,False,,,False,,False,,False,2026-09-10T20:57:31Z
vedcdnlb.com,,False,False,,,False,,False,,False,2026-09-10T20:57:31Z
discord.com,200,True,False,,404,False,404,False,404,False,2026-09-10T20:57:37Z
webex.com,403,False,False,,500,False,200,True,403,False,2026-09-10T20:57:37Z
dns-parking.com,,False,False,,,False,,False,,False,2026-09-10T20:57:42Z
paypal.com,200,True,False,,404,False,200,True,404,False,2026-09-10T20:57:43Z
3gppnetwork.org,,False,False,,,False,,False,,False,2026-09-10T20:57:46Z
ax-msedge.net,,False,False,,,False,,False,,False,2026-09-10T20:57:48Z
example.com,404,False,False,,404,False,404,False,404,False,2026-09-10T20:57:51Z
adobe.io,200,True,False,,200,False,404,False,404,False,2026-09-10T20:57:51Z
ggpht.com,,False,False,,,False,,False,,False,2026-09-10T20:57:54Z
azurewebsites.net,,False,False,,,False,,False,,False,2026-09-10T20:57:57Z
vk.ru,200,True,False,,404,False,404,False,404,False,2026-09-10T20:57:59Z
mts.ru,200,True,False,,404,False,404,False,404,False,2026-09-10T20:58:00Z
shopify.com,200,True,False,,200,True,200,True,404,False,2026-09-10T20:58:02Z
soundcloud.com,200,True,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;google-extended;gptbot;meta-externalagent;oai-searchbot;perplexitybot,404,False,404,False,404,False,2026-09-10T20:58:06Z
base.org,200,True,False,,404,False,200,True,404,False,2026-09-10T20:58:09Z
macromedia.com,,False,False,,,False,,False,,False,2026-09-10T20:58:13Z
flickr.com,200,True,True,chatgpt-user;oai-searchbot;perplexitybot;petalbot,404,False,404,False,404,False,2026-09-10T20:58:15Z
namebrightdns.com,,False,False,,,False,,False,,False,2026-09-10T20:58:23Z
googleadservices.com,404,False,False,,404,False,404,False,404,False,2026-09-10T20:58:28Z
telekom.net,200,False,False,,200,False,200,False,200,False,2026-09-10T20:58:35Z
cdn-apple.com,,False,False,,,False,,False,,False,2026-09-10T20:58:42Z
w3.org,200,True,False,,404,False,404,False,404,False,2026-09-10T20:58:48Z
bytefcdn-oversea.com,,False,False,,,False,,False,,False,2026-09-10T20:58:54Z
nflxso.net,,False,False,,,False,,False,,False,2026-09-10T20:59:00Z
hichina.com,,False,False,,,False,,False,,False,2026-09-10T20:59:05Z
lencr.org,200,False,False,,200,False,200,False,200,False,2026-09-10T20:59:12Z
rubiconproject.com,200,True,False,,404,False,200,True,404,False,2026-09-10T20:59:20Z
creativecommons.org,200,True,False,,404,False,404,False,404,False,2026-09-10T20:59:24Z
medium.com,200,True,True,amazonbot;applebot-extended;bytespider;claudebot;facebookbot;gptbot;meta-externalagent,403,False,403,False,403,False,2026-09-10T20:59:27Z
vungle.com,200,True,False,,404,False,404,False,404,False,2026-09-10T20:59:29Z
cnn.com,200,True,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;imagesiftbot;oai-searchbot;omgilibot;perplexitybot;petalbot;timpibot;youbot,404,False,404,False,404,False,2026-09-10T20:59:34Z
adsafeprotected.com,200,False,False,,200,False,200,True,200,True,2026-09-10T20:59:37Z
theguardian.com,200,True,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;claudebot;facebookbot;meta-externalagent;perplexitybot;petalbot;youbot,404,False,404,False,404,False,2026-09-10T20:59:42Z
lsrelayaccess.com,404,False,False,,404,False,404,False,404,False,2026-09-10T20:59:43Z
oracle.com,403,False,False,,403,False,403,False,403,False,2026-09-10T20:59:49Z
