domain,robots_status,robots_present,named_ai_tokens,restricts_all_named,restricts_some_named,wildcard_only_block
bloomberg.com,200,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;diffbot;google-extended;gptbot;meta-externalagent;oai-searchbot;perplexitybot;petalbot;youbot,amazonbot;applebot-extended;bytespider;ccbot;cohere-ai;diffbot;meta-externalagent;petalbot,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;diffbot;google-extended;gptbot;meta-externalagent;oai-searchbot;perplexitybot;petalbot;youbot,False
stanford.edu,308,False,,,,False
calendly.com,200,True,ccbot,,ccbot,False
samsungcloudsolution.com,,False,,,,False
cookiedatabase.org,200,True,,,,False
cdnbuild.net,,False,,,,False
ip-api.com,200,True,,,,False
mobile.de,200,True,,,,False
tiktokv.us,,False,,,,False
walmart.com,200,True,,,,False
volcfcdndvs.com,,False,,,,False
licdn.com,,False,,,,False
amazontrust.com,404,False,,,,False
casalemedia.com,200,False,,,,False
plesk.com,200,True,,,,False
amazon.de,200,True,bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;crawl4ai;diffbot;google-extended;gptbot;iaskspider;imagesiftbot;meta-externalagent;oai-searchbot;perplexitybot;petalbot;timpibot;wrtnbot;youbot,bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;crawl4ai;diffbot;google-extended;gptbot;iaskspider;imagesiftbot;meta-externalagent;oai-searchbot;perplexitybot;petalbot;timpibot;wrtnbot;youbot,bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;crawl4ai;diffbot;google-extended;gptbot;iaskspider;imagesiftbot;meta-externalagent;oai-searchbot;perplexitybot;petalbot;timpibot;wrtnbot;youbot,False
gitlab.com,200,True,,,,False
paloaltonetworks.com,200,True,chatgpt-user;oai-searchbot;perplexitybot,,chatgpt-user;oai-searchbot;perplexitybot,False
online-metrix.net,,False,,,,False
tp-link.com,200,True,,,,False
newrelic.com,200,True,,,,False
yandex.com,200,True,,,,False
demdex.net,,False,,,,False
google.cn,404,False,,,,False
shopifysvc.com,,False,,,,False
bsky.app,200,True,,,,False
ibyteimg.com,,False,,,,False
dnspod.net,,False,,,,False
rocket-cdn.com,,False,,,,False
xcal.tv,,False,,,,False
vivoglobal.com,200,True,,,,False
quickconnect.to,200,False,,,,False
kwai-pro.com,,False,,,,False
onelink.me,200,False,,,,False
netangels.ru,200,True,,,,False
espn.com,200,True,anthropic-ai;bytespider;ccbot;chatgpt-user;facebookbot;google-extended;gptbot;omgilibot,anthropic-ai;bytespider;ccbot;chatgpt-user;facebookbot;google-extended;gptbot;omgilibot,anthropic-ai;bytespider;ccbot;chatgpt-user;facebookbot;google-extended;gptbot;omgilibot,False
aliexpress.com,200,True,,,,False
ezvizlife.com,200,True,,,,False
gandi-ns.fr,,False,,,,False
nasa.gov,200,True,,,,False
nflxvideo.net,200,True,chatgpt-user;claudebot;google-extended;gptbot;oai-searchbot;perplexitybot,,chatgpt-user;claudebot;google-extended;gptbot;oai-searchbot;perplexitybot,False
ipify.org,200,True,,,,False
dotaplabs.net,,False,,,,False
globo.com,200,False,,,,False
unsplash.com,200,True,bytespider;claudebot;imagesiftbot,bytespider;claudebot;imagesiftbot,bytespider;claudebot;imagesiftbot,False
heytapdl.com,,False,,,,False
163.com,200,True,,,,False
brave.com,200,True,,,,False
line.me,200,True,,,,False
tiktokv.eu,,False,,,,False
twc.com,403,False,,,,False
dailymotion.com,200,True,,,,False
vkuser.net,,False,,,,False
supercell.com,200,True,,,,False
amazonalexa.com,200,False,,,,False
expireddomains.com,404,False,,,,False
tiktokcdn-eu.com,,False,,,,False
