domain,robots_status,robots_present,blocks_named_ai_agent,ai_agents_named,sig_directory_status,has_sig_directory,sig_directory_shape,llms_txt_status,has_llms_txt,ai_txt_status,has_ai_txt,checked_at
allawnos.com,,False,False,,,False,,,False,,False,2026-09-11T14:12:05Z
tradingview.com,200,True,True,amazonbot;applebot-extended;bytespider;claudebot;google-extended;meta-externalagent;omgilibot;perplexitybot,404,False,,404,False,404,False,2026-09-11T14:12:11Z
launchdarkly.com,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:12:20Z
virginm.net,,False,False,,,False,,,False,,False,2026-09-11T14:12:27Z
washingtonpost.com,200,True,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;claude-web;claudebot;diffbot;facebookbot;imagesiftbot;meta-externalagent;omgilibot;perplexitybot,403,False,,,False,,False,2026-09-11T14:12:30Z
selectel.ru,200,True,False,,404,False,,200,True,404,False,2026-09-11T14:12:33Z
issuu.com,200,True,True,petalbot,404,False,,404,False,404,False,2026-09-11T14:12:42Z
nvidia.com,200,True,False,,403,False,,200,True,404,False,2026-09-11T14:12:48Z
indeed.com,200,True,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claudebot;diffbot;facebookbot;google-extended;gptbot;meta-externalagent;oai-searchbot;omgilibot;perplexitybot;petalbot;timpibot;youbot,200,True,jwks_directory,200,True,404,False,2026-09-11T14:12:57Z
live-video.net,403,False,False,,403,False,,403,False,403,False,2026-09-11T14:13:03Z
wsj.com,200,True,True,chatgpt-user;gptbot;oai-searchbot,403,False,,403,False,403,False,2026-09-11T14:13:10Z
zendesk.com,200,True,False,,404,False,,200,True,404,False,2026-09-11T14:13:20Z
bloomberg.com,200,True,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;diffbot;google-extended;gptbot;meta-externalagent;oai-searchbot;perplexitybot;petalbot;youbot,404,False,,403,False,403,False,2026-09-11T14:13:23Z
stanford.edu,308,False,False,,308,False,,308,False,308,False,2026-09-11T14:13:29Z
calendly.com,200,True,True,ccbot,404,False,,200,True,404,False,2026-09-11T14:13:31Z
samsungcloudsolution.com,,False,False,,,False,,,False,,False,2026-09-11T14:13:37Z
cookiedatabase.org,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:13:37Z
cdnbuild.net,,False,False,,,False,,,False,,False,2026-09-11T14:13:37Z
ip-api.com,200,True,False,,200,False,,200,False,200,False,2026-09-11T14:13:43Z
mobile.de,200,True,False,,403,False,,403,False,403,False,2026-09-11T14:13:43Z
tiktokv.us,,False,False,,,False,,,False,,False,2026-09-11T14:13:44Z
walmart.com,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:13:49Z
volcfcdndvs.com,,False,False,,,False,,,False,,False,2026-09-11T14:13:50Z
licdn.com,,False,False,,,False,,,False,,False,2026-09-11T14:13:52Z
amazontrust.com,404,False,False,,404,False,,404,False,404,False,2026-09-11T14:13:56Z
casalemedia.com,200,False,False,,200,False,,200,False,200,False,2026-09-11T14:13:57Z
plesk.com,200,True,False,,404,False,,200,True,404,False,2026-09-11T14:13:57Z
amazon.de,200,True,True,bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;crawl4ai;diffbot;google-extended;gptbot;iaskspider;imagesiftbot;meta-externalagent;oai-searchbot;perplexitybot;petalbot;timpibot;wrtnbot;youbot,404,False,,404,False,404,False,2026-09-11T14:14:02Z
gitlab.com,200,True,False,,403,False,,403,False,403,False,2026-09-11T14:14:06Z
paloaltonetworks.com,200,True,True,chatgpt-user;oai-searchbot;perplexitybot,404,False,,200,True,404,False,2026-09-11T14:14:08Z
online-metrix.net,,False,False,,,False,,,False,,False,2026-09-11T14:14:10Z
tp-link.com,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:14:13Z
newrelic.com,200,True,False,,403,False,,200,True,404,False,2026-09-11T14:14:15Z
yandex.com,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:14:15Z
demdex.net,,False,False,,,False,,,False,,False,2026-09-11T14:14:21Z
google.cn,404,False,False,,404,False,,404,False,404,False,2026-09-11T14:14:23Z
shopifysvc.com,,False,False,,,False,,,False,,False,2026-09-11T14:14:25Z
bsky.app,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:14:26Z
ibyteimg.com,,False,False,,,False,,,False,,False,2026-09-11T14:14:29Z
dnspod.net,,False,False,,,False,,,False,,False,2026-09-11T14:14:31Z
rocket-cdn.com,,False,False,,,False,,,False,,False,2026-09-11T14:14:34Z
xcal.tv,,False,False,,,False,,,False,,False,2026-09-11T14:14:35Z
vivoglobal.com,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:14:40Z
quickconnect.to,200,False,False,,,False,,200,False,200,False,2026-09-11T14:14:41Z
kwai-pro.com,,False,False,,,False,,,False,,False,2026-09-11T14:14:44Z
onelink.me,200,False,False,,200,False,,200,False,200,False,2026-09-11T14:14:47Z
netangels.ru,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:14:48Z
espn.com,200,True,True,anthropic-ai;bytespider;ccbot;chatgpt-user;facebookbot;google-extended;gptbot;omgilibot,404,False,,404,False,404,False,2026-09-11T14:14:50Z
aliexpress.com,200,True,False,,200,False,,200,False,200,False,2026-09-11T14:14:54Z
ezvizlife.com,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:14:56Z
gandi-ns.fr,,False,False,,,False,,,False,,False,2026-09-11T14:14:59Z
nasa.gov,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:15:04Z
nflxvideo.net,200,True,True,chatgpt-user;claudebot;google-extended;gptbot;oai-searchbot;perplexitybot,200,False,,200,False,200,False,2026-09-11T14:15:04Z
ipify.org,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:15:04Z
dotaplabs.net,,False,False,,,False,,,False,,False,2026-09-11T14:15:12Z
globo.com,200,False,False,,404,False,,404,False,404,False,2026-09-11T14:15:13Z
unsplash.com,200,True,True,bytespider;claudebot;imagesiftbot,404,False,,404,False,404,False,2026-09-11T14:15:14Z
heytapdl.com,,False,False,,,False,,,False,,False,2026-09-11T14:15:18Z
163.com,200,True,False,,200,False,,200,True,200,True,2026-09-11T14:15:21Z
brave.com,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:15:24Z
line.me,200,True,False,,403,False,,403,False,404,False,2026-09-11T14:15:26Z
tiktokv.eu,,False,False,,,False,,,False,,False,2026-09-11T14:15:30Z
twc.com,403,False,False,,403,False,,403,False,403,False,2026-09-11T14:15:33Z
dailymotion.com,200,True,False,,404,False,,200,True,200,False,2026-09-11T14:15:36Z
vkuser.net,,False,False,,,False,,,False,,False,2026-09-11T14:15:40Z
supercell.com,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:15:43Z
amazonalexa.com,200,False,False,,200,False,,200,False,200,False,2026-09-11T14:15:51Z
expireddomains.com,404,False,False,,403,False,,404,False,404,False,2026-09-11T14:16:00Z
tiktokcdn-eu.com,,False,False,,,False,,,False,,False,2026-09-11T14:16:07Z
steamcommunity.com,200,True,False,,200,False,,200,False,200,False,2026-09-11T14:16:13Z
huawei.com,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:16:21Z
mi.com,403,False,False,,403,False,,403,False,403,False,2026-09-11T14:16:36Z
temu.com,200,False,False,,200,False,,200,False,200,False,2026-09-11T14:16:37Z
kaspersky-labs.com,,False,False,,,False,,,False,,False,2026-09-11T14:16:44Z
beian.gov.cn,,False,False,,,False,,,False,,False,2026-09-11T14:16:45Z
pangle.io,,False,False,,,False,,,False,,False,2026-09-11T14:16:49Z
avcdn.net,,False,False,,,False,,,False,,False,2026-09-11T14:16:51Z
taobao.com,200,True,False,,200,False,,200,False,200,False,2026-09-11T14:16:56Z
claude.ai,200,True,True,chatgpt-user;google-extended;gptbot;oai-searchbot,404,False,,200,False,200,False,2026-09-11T14:16:56Z
mynetname.net,,False,False,,,False,,,False,,False,2026-09-11T14:17:02Z
kwaipros.com,,False,False,,,False,,,False,,False,2026-09-11T14:17:08Z
goodreads.com,200,True,True,ccbot;gptbot,404,False,,404,False,404,False,2026-09-11T14:17:13Z
enacdn.net,,False,False,,,False,,,False,,False,2026-09-11T14:17:14Z
wbx2.com,,False,False,,,False,,,False,,False,2026-09-11T14:17:19Z
intel.com,200,True,True,anthropic-ai;chatgpt-user;claudebot;google-extended;gptbot;perplexitybot,404,False,,200,True,404,False,2026-09-11T14:17:22Z
awsglobalaccelerator.com,,False,False,,,False,,,False,,False,2026-09-11T14:17:33Z
chinamobile.com,,False,False,,,False,,,False,,False,2026-09-11T14:17:39Z
dropcatch.com,308,False,False,,308,False,,308,False,308,False,2026-09-11T14:17:41Z
substack.com,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:17:45Z
skyhigh.cloud,,False,False,,404,False,,,False,,False,2026-09-11T14:17:47Z
netease.com,404,False,False,,404,False,,404,False,404,False,2026-09-11T14:17:52Z
sina.com.cn,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:18:07Z
ipinfo.io,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:18:22Z
bluehost.com,403,False,False,,403,False,,403,False,403,False,2026-09-11T14:18:29Z
businessinsider.com,200,True,True,anthropic-ai;bytespider;ccbot;claudebot;diffbot;timpibot,404,False,,404,False,404,False,2026-09-11T14:18:36Z
cloudns.net,200,True,False,,200,False,,200,False,200,False,2026-09-11T14:18:39Z
myqcloud.com,,False,False,,,False,,,False,,False,2026-09-11T14:18:42Z
yahoo.co.jp,403,False,False,,403,False,,403,False,403,False,2026-09-11T14:18:47Z
go.com,200,True,True,google-extended;gptbot,200,False,,200,False,200,False,2026-09-11T14:18:48Z
wp.com,200,True,False,,404,False,,200,True,404,False,2026-09-11T14:18:57Z
pixabay.com,200,True,True,applebot-extended;bytespider;ccbot;claudebot;google-extended;gptbot,403,False,,403,False,403,False,2026-09-11T14:19:05Z
adobe.net,200,True,False,,404,False,,200,True,404,False,2026-09-11T14:19:05Z
byteglb.com,,False,False,,,False,,,False,,False,2026-09-11T14:19:11Z
g.page,200,False,False,,404,False,,200,False,200,False,2026-09-11T14:19:13Z
edgecdn.ru,200,True,False,,,False,,,False,,False,2026-09-11T14:19:17Z
speedtest.net,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:19:21Z
avsxappcaptiveportal.com,404,False,False,,404,False,,404,False,404,False,2026-09-11T14:19:24Z
tencent-cloud.net,,False,False,,,False,,,False,,False,2026-09-11T14:19:27Z
eye4.cn,500,False,False,,500,False,,403,False,403,False,2026-09-11T14:19:33Z
sohu.com,200,True,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;meta-externalagent;oai-searchbot;perplexitybot;youbot,502,False,,200,False,200,False,2026-09-11T14:19:42Z
cloudflareinsights.com,200,False,False,,200,False,,200,False,200,False,2026-09-11T14:19:44Z
gamepass.com,200,False,False,,200,False,,200,False,200,False,2026-09-11T14:19:50Z
